City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
67,Shenjiamen,CN,81.25,overcast clouds,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
74,Mizdah,LY,79.29,clear sky,31.4451,12.9801,محمدالمبروك الاريقط
79,Sile,TR,77.58,clear sky,41.1754,29.6133,Phellos Suites
80,Padang,ID,76.19,broken clouds,-0.9492,100.3543,Mercure Padang
81,Sao Joao Do Piaui,BR,82.92,clear sky,-8.3581,-42.2467,Nayra Palace Hotel
84,Atuona,PF,77.32,clear sky,-9.8,-139.0333,Villa Enata
85,Wukari,NG,76.95,overcast clouds,7.85,9.7833,Elimtop
95,Nantucket,US,82.54,clear sky,41.2835,-70.0995,Jared Coffin House
111,Touros,BR,76.73,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
113,Qui Nhon,VN,78.49,overcast clouds,13.7667,109.2333,Seagull Hotel
114,Sola,VU,80.19,clear sky,-13.8833,167.55,Leumerus Bungalows
116,Biltine,TD,78.15,overcast clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
117,Kahului,US,89.62,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
118,Vieste,IT,76.73,overcast clouds,41.8825,16.175,Hotel Falcone
120,Delijan,IR,85.42,few clouds,33.9905,50.6838,ایزوگام آسیاگستر
122,Marshall,US,85.71,light rain,34.3834,-86.3333,Riverview Campground
125,Crixas,BR,90.0,scattered clouds,-14.5489,-49.9692,RISO HOTEL
129,Baracoa,CU,84.43,broken clouds,20.3467,-74.4958,Hostal Rio Miel
131,Kulhudhuffushi,MV,80.67,broken clouds,6.6221,73.07,Haajy Guest House 1
132,Sal Rei,CV,79.52,broken clouds,16.1833,-22.9167,Marine Club Beach Resort
133,Hirara,JP,84.49,clear sky,24.8,125.2833,Hotel Atoll Emerald Miyakojima
136,Awjilah,LY,83.64,few clouds,29.1081,21.2869,المنزل
137,Sevlievo,BG,77.0,broken clouds,43.0258,25.1136,Incanto Hotel
142,Champerico,GT,82.89,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
143,Shingu,JP,79.61,overcast clouds,33.7333,135.9833,Shingu UI Hotel
148,Victoria,HK,83.25,light rain,22.2855,114.1577,Mini Central
150,Waconia,US,84.99,clear sky,44.8508,-93.7869,AmeriVu Inn and Suites - Waconia
151,Bonthe,SL,75.96,light rain,7.5264,-12.505,Bonthe Holiday Village
163,Korla,CN,86.38,scattered clouds,41.7597,86.1469,Gulisitan Hotel
164,Nador,MA,82.47,light rain,35.174,-2.9287,Hôtel La Giralda
166,Acapulco,MX,87.62,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
167,Bathsheba,BB,86.61,broken clouds,13.2167,-59.5167,Atlantis Hotel
170,Delhi,IN,88.3,mist,28.6667,77.2167,Maidens Hotel
172,Puerto Ayora,EC,76.96,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
173,Caronport,CA,78.69,clear sky,50.4501,-105.8179,Pilgrim Inn
174,Meulaboh,ID,75.96,overcast clouds,4.1363,96.1285,Kost Pria
178,Sucy-En-Brie,FR,78.62,clear sky,48.7667,2.5333,Hôtel Restaurant Campanile Créteil - Bonneuil sur Marne
182,Huilong,CN,84.92,overcast clouds,31.8111,121.655,Hilton Garden Inn Qidong
183,Habiganj,BD,77.99,light rain,24.3833,91.4167,উত্তর শৈলজুড়া (গয়েবপুর)
191,Dingle,PH,75.45,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
194,Ambon,ID,76.23,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
195,Nanakuli,US,87.75,scattered clouds,21.3906,-158.1547,Camp Pālehua
201,Dakar,SN,83.28,broken clouds,14.6937,-17.4441,Novotel Dakar
206,Bubaque,GW,80.64,light rain,11.2833,-15.8333,"Casa Dora, Bubaque"
213,Sorong,ID,76.96,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
218,Hong Gai,VN,84.11,light rain,20.956,107.0946,Hạ Long DC Hotel
220,Ouesso,CG,76.95,overcast clouds,1.6136,16.0517,ABENIE Hotel
221,Harindanga,IN,80.01,light rain,22.0383,88.3214,Hasanur Builders
223,Tabou,CI,75.49,overcast clouds,4.423,-7.3528,hotêl doufoulougou
225,Hot Springs,US,89.55,clear sky,34.5037,-93.0552,Embassy Suites by Hilton Hot Springs Hotel & Spa
227,Tanabe,JP,80.8,overcast clouds,33.7333,135.3667,美吉屋旅館
235,Sioux Lookout,CA,77.07,few clouds,50.1001,-91.917,Knobby's Fly-In Camps
239,Broome,US,81.01,clear sky,42.2506,-75.833,Chenango Valley State Park
242,Bandarbeyla,SO,77.23,overcast clouds,9.4942,50.8122,JABIR HOTEL
243,Lorengau,PG,80.92,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
245,Praia,CV,81.14,scattered clouds,14.9215,-23.5087,LT Aparthotel
246,Kimbe,PG,75.6,broken clouds,-5.5502,150.1429,Kimbe Bay Hotel
252,Paciran,ID,75.6,broken clouds,-6.8767,112.3761,Tanjung Kodok Beach Resort
260,Cockburn Town,TC,84.16,few clouds,21.4612,-71.1419,Osprey Beach Hotel
261,Marrakesh,MA,80.67,clear sky,31.6315,-8.0083,Les Jardins de La Koutoubia
